fecha,primera_dosis,segunda_dosis
1/21/2021,1500,0
1/22/2021,538,1
1/23/2021,31,0
1/24/2021,0,0
1/25/2021,622,0
1/26/2021,385,0
1/27/2021,351,0
1/28/2021,111,0
1/29/2021,101,0
1/30/2021,0,0
1/31/2021,58,0
2/1/2021,608,0
2/2/2021,591,0
2/3/2021,1350,1
2/4/2021,45,41
2/5/2021,2,0
2/6/2021,0,0
2/7/2021,0,0
2/8/2021,2,0
2/9/2021,0,0
2/10/2021,9,5
2/11/2021,27,1471
2/12/2021,10,486
2/13/2021,1,31
2/14/2021,0,0
2/15/2021,0,1
2/16/2021,0,0
2/17/2021,3,80
2/18/2021,10129,1301
2/19/2021,2950,185
2/20/2021,0,0
2/21/2021,85,0
2/22/2021,804,141
2/23/2021,13,5
2/24/2021,21,200
2/25/2021,9357,1537
2/26/2021,4487,687
2/27/2021,55,0
2/28/2021,6,0
3/1/2021,141,1
3/2/2021,158,0
3/3/2021,27,0
3/4/2021,13842,92
3/5/2021,11005,15
3/6/2021,2370,0
3/7/2021,223,0
3/8/2021,2969,1
3/9/2021,959,0
3/10/2021,395,174
3/11/2021,14535,5057
3/12/2021,24915,6315
3/13/2021,8325,789
3/14/2021,683,21
3/15/2021,4442,230
3/16/2021,3866,479
3/17/2021,3077,78
3/18/2021,1359,2215
3/19/2021,1574,6386
3/20/2021,2785,3036
3/21/2021,897,172
3/22/2021,19608,1096
3/23/2021,12069,313
3/24/2021,5035,222
3/25/2021,5004,9207
3/26/2021,5773,11825
3/27/2021,2289,2135
3/28/2021,270,6
3/29/2021,9276,2356
3/30/2021,4358,3190
3/31/2021,6397,341
4/1/2021,11372,7894
4/2/2021,3095,8653
4/3/2021,2746,1708
4/4/2021,1683,551
4/5/2021,16276,16115
4/6/2021,16055,7919
4/7/2021,21249,4161
4/8/2021,6049,6700
4/9/2021,3338,3220
4/10/2021,615,2109
4/11/2021,36,113
4/12/2021,483,7882
4/13/2021,22013,8684
4/14/2021,17206,4209
4/15/2021,17555,8344
4/16/2021,17558,14873
4/17/2021,23147,4912
4/18/2021,2155,305
4/19/2021,19403,5084
4/20/2021,24486,4404
4/21/2021,30544,5995
4/22/2021,31304,3523
4/23/2021,33319,8669
4/24/2021,14043,4203
4/25/2021,5147,212
4/26/2021,22395,9647
4/27/2021,38372,8465
4/28/2021,37692,7943
4/29/2021,62279,2077
4/30/2021,51708,10962
5/1/2021,37962,3804
5/2/2021,34557,562
5/3/2021,43546,3165
5/4/2021,28035,5089
5/5/2021,23355,3443
